disk_id,ds,model,n_5,r_5,n_9,r_9,n_12,r_12,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_190,r_190,n_194,r_194,n_195,r_195,n_197,r_197,n_199,r_199,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,is_null,is_broken
28586,20181030,MB1,100,0,98,9676,99,24,99,8,100,6483,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,5548626187.0,99,224325000000.0,100,0,100,65535,0,1
28586,20181029,MB1,100,0,98,9652,99,24,99,8,100,6483,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,5548626187.0,99,224325000000.0,100,0,100,65535,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
896,20190224,MB1,100,0,98,6639,99,4,99,15,100,6524,100,0,100,0,100,0,100,0,100,0,66,34,66,34,200,0,100,0,100,0,99,38790560919.0,99,135923000000.0,100,0,100,65535,0,1
896,20190223,MB1,100,0,98,6615,99,4,99,15,100,6524,100,0,100,0,100,0,100,0,100,0,65,35,65,35,200,0,100,0,100,0,99,38463203474.0,99,134788000000.0,100,0,100,65535,0,1
896,20190222,MB1,100,0,98,6591,99,4,99,15,100,6524,100,0,100,0,100,0,100,0,100,0,65,35,65,35,200,0,100,0,100,0,99,38127854130.0,99,133759000000.0,100,0,100,65535,0,1
896,20190221,MB1,100,0,98,6567,99,4,99,15,100,6524,100,0,100,0,100,0,100,0,100,0,65,35,65,35,200,0,100,0,100,0,99,37818685427.0,99,132736000000.0,100,0,100,65535,0,1
896,20190220,MB1,100,0,98,6543,99,4,99,14,100,6524,100,0,100,0,100,0,100,0,100,0,65,35,65,35,200,0,100,0,100,0,99,37524844998.0,99,131661000000.0,100,0,100,65535,0,1
896,20190219,MB1,100,0,98,6519,99,4,99,14,100,6524,100,0,100,0,100,0,100,0,100,0,66,34,66,34,200,0,100,0,100,0,99,37248597474.0,99,130523000000.0,100,0,100,65535,0,1
26955,20180817,MB1,99,2,98,7944,99,13,98,136,99,6435,100,0,100,0,99,2,100,0,100,0,75,25,75,25,200,0,100,0,100,0,99,343546000000.0,99,157761000000.0,100,0,100,65535,0,1
26955,20180816,MB1,99,2,98,7920,99,13,98,135,99,6435,100,0,100,0,99,2,100,0,100,0,75,25,75,25,200,0,100,0,100,0,99,342796000000.0,99,156713000000.0,100,0,100,65535,0,1
26955,20180815,MB1,100,0,98,7896,99,13,98,135,100,6437,100,0,100,0,100,0,100,0,100,0,75,25,75,25,200,0,100,0,100,0,99,342047000000.0,99,155991000000.0,100,0,100,65535,0,1
